เลขทะเบียนโรงงานเดิม,เลขทะเบียนโรงงานใหม่,รหัสประเภท,ประเภทหรือชนิดของโรงงาน,จำพวก,ปีที่อนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,คนงานรวม,แรงม้า,เงินทุนรวม (ล้านบาท)
3-105-62/67สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,ห้างหุ้นส่วนจำกัด พี.ดี. เทรดดิ้ง เมทเทิล,ห้างหุ้นส่วนจำกัด พี.ดี. เทรดดิ้ง เมทเทิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,234,3,,,บ้านระกาศ,บางบ่อ,สมุทรปราการ,10560,80,398,22
3-105-65/60สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,60,บริษัท วิบูลย์ชัย 69 จำกัด,บริษัท วิบูลย์ชัย 69 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,195/2,3,,,คลองด่าน,บางบ่อ,สมุทรปราการ,10550,22,197,6
3-105-65/66สป,1.01102E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,66,บริษัท ส.เจริญกิจ พลาสติก แอนด์ เซอร์วิส จำกัด,บริษัท ส.เจริญกิจ พลาสติก แอนด์ เซอร์วิส จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ได้แก่ เศษพลาสติก ไม้ เศษโลหะ ฯลฯ,156/5,6,,,บางเพรียง,บางบ่อ,สมุทรปราการ,10560,15,220,3
3-105-3/68สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,68,บริษัท หงส์ สตีล จำกัด,บริษัท หงส์ สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,385,4,,,บางบ่อ,บางบ่อ,สมุทรปราการ,10560,20,564,10
3-105-7/67สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,67,บริษัท มั่นคงยั่งยืน รีไซเคิล จำกัด,บริษัท มั่นคงยั่งยืน รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,999/27,12,,,คลองด่าน,บางบ่อ,สมุทรปราการ,10550,4,224,3.17
3-105-51/66สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,66,นางสาวศิริพร   สุวรรณวิชนี,นางสาวศิริพร   สุวรรณวิชนี,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,999/8,12,ดีพร้อมพัฒนา,,คลองด่าน,บางบ่อ,สมุทรปราการ,10550,20,465,5
3-105-1/49สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,49,บริษัท ซี ยู อี จำกัด,บริษัท ซี ยู อี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติกและผลิตเมล็ดพลาสติกเกรดบี,13/12-13,4,,บางนา-ตราด,บางบ่อ,บางบ่อ,สมุทรปราการ,10560,13,576.05,12.25
3-105-47/63สป,1.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,63,บริษัท เอ็น แอนด์ ดับบลิว สยามพลาสติก จำกัด,บริษัท เอ็น แอนด์ ดับบลิว สยามพลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,72/9,1,,บางพลีน้อย-สีล้ง,บ้านระกาศ,บางบ่อ,สมุทรปราการ,10560,20,420,12
3-105-17/68สป,1.011E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,68,บริษัท บริลเลียนท์ เมททอล กรุ๊ป จำกัด,บริษัท บริลเลียนท์ เมททอล กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"โฉนดที่ดินเลขที่ 35486,35487",4,,,บางเพรียง,บางบ่อ,สมุทรปราการ,10560,35,433,90
จ3-105-185/51สป,2.01101E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,51,บริษัท ไออาร์พีเอ พลาสติก (ประเทศไทย) จำกัด,บริษัท ไออาร์พีเอ พลาสติก (ประเทศไทย) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ได้แก่ เศษพลาสติก กระดาษ ไม้ ฯลฯ การบดย่อย และหลอมหรือทำเม็ดพลาสติกจากพลาสติกใช้แล้ว,225,4,,วโรชา-บางเพรียง,บางเพรียง,บางบ่อ,สมุทรปราการ,10560,26,878.26,3.5
3-105-90/63สป,1.01103E+13,10500,โรงงานคัดแยกหรือฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,3,63,บริษัท จำเริญ พลาสติก 2020 จำกัด,บริษัท จำเริญ พลาสติก 2020 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,456,5,บางพลีพัฒนาตัดใหม่,เทพารักษ์,บางเพรียง,บางบ่อ,สมุทรปราการ,10560,9,510,3.5
3-106-9/63สป,1.011E+13,10600,การนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบ,3,63,บริษัท พรสว่าง กล๊าส จำกัด,บริษัท พรสว่าง กล๊าส จำกัด,บดขวดแก้วที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,428,2,,,บางเพรียง,บางบ่อ,สมุทรปราการ,10560,13,482,12.5
